M d02 d05 d08 s1 s3
1.5400 0.197236 0.455567 0.651006 0.737334 0.621638
1.5500 0.196907 0.453845 0.647821 0.737525 0.616390
1.5600 0.196559 0.452098 0.644617 0.737641 0.611182
1.5700 0.196194 0.450326 0.641392 0.737684 0.606017
1.5800 0.195812 0.448528 0.638147 0.737653 0.600897
1.5900 0.195412 0.446707 0.634883 0.737548 0.595824
1.6000 0.194995 0.444860 0.631600 0.737370 0.590799
1.6100 0.194560 0.442990 0.628297 0.737117 0.585826
1.6200 0.194109 0.441096 0.624976 0.736791 0.580904
1.6300 0.193641 0.439179 0.621636 0.736392 0.576037
1.6400 0.193156 0.437238 0.618278 0.735918 0.571225
1.6500 0.192655 0.435275 0.614901 0.735371 0.566470
1.6600 0.192137 0.433289 0.611507 0.734751 0.561774
1.6700 0.191603 0.431281 0.608096 0.734057 0.557136
1.6800 0.191052 0.429251 0.604667 0.733290 0.552559
1.6900 0.190486 0.427200 0.601221 0.732449 0.548044
1.7000 0.189903 0.425127 0.597758 0.731535 0.543591
1.7100 0.189305 0.423033 0.594278 0.730548 0.539201
1.7200 0.188691 0.420918 0.590782 0.729488 0.534875
1.7300 0.188061 0.418782 0.587270 0.728355 0.530614
1.7400 0.187416 0.416627 0.583742 0.727149 0.526417
1.7500 0.186756 0.414451 0.580198 0.725871 0.522286
1.7600 0.186081 0.412255 0.576639 0.724520 0.518220
1.7700 0.185390 0.410040 0.573064 0.723096 0.514220
1.7800 0.184685 0.407806 0.569474 0.721600 0.510286
1.7900 0.183965 0.405553 0.565869 0.720032 0.506417
1.8000 0.183230 0.403281 0.562250 0.718392 0.502614
1.8100 0.182480 0.400990 0.558616 0.716680 0.498877
1.8200 0.181716 0.398681 0.554967 0.714896 0.495205
1.8300 0.180938 0.396354 0.551304 0.713041 0.491598
1.8400 0.180146 0.394009 0.547628 0.711115 0.488055
1.8500 0.179340 0.391647 0.543937 0.709117 0.484576
1.8600 0.178519 0.389267 0.540233 0.707049 0.481160
1.8700 0.177685 0.386870 0.536516 0.704910 0.477806
1.8800 0.176838 0.384456 0.532785 0.702700 0.474514
1.8900 0.175977 0.382025 0.529041 0.700420 0.471282
1.9000 0.175102 0.379578 0.525284 0.698071 0.468110
1.9100 0.174214 0.377114 0.521514 0.695651 0.464997
1.9200 0.173313 0.374635 0.517732 0.693162 0.461941
1.9300 0.172399 0.372139 0.513938 0.690603 0.458941
1.9400 0.171472 0.369628 0.510131 0.687975 0.455996
1.9500 0.170532 0.367101 0.506312 0.685279 0.453104
1.9600 0.169580 0.364559 0.502481 0.682514 0.450265
1.9700 0.168615 0.362002 0.498639 0.679681 0.447476
1.9800 0.167638 0.359430 0.494785 0.676779 0.444736
1.9900 0.166648 0.356844 0.490919 0.673811 0.442043
2.0000 0.165646 0.354243 0.487042 0.670774 0.439396
2.0100 0.164633 0.351627 0.483154 0.667671 0.436793
2.0200 0.163607 0.348998 0.479255 0.664501 0.434232
2.0300 0.162569 0.346354 0.475345 0.661264 0.431712
2.0400 0.161520 0.343697 0.471424 0.657962 0.429229
2.0500 0.160459 0.341026 0.467493 0.654593 0.426784
2.0600 0.159387 0.338342 0.463552 0.651159 0.424372
2.0700 0.158304 0.335645 0.459600 0.647660 0.421993
2.0800 0.157209 0.332935 0.455638 0.644096 0.419645
2.0900 0.156103 0.330211 0.451666 0.640468 0.417324
2.1000 0.154986 0.327475 0.447684 0.636776 0.415030
2.1100 0.153859 0.324727 0.443692 0.633020 0.412759
2.1200 0.152720 0.321966 0.439691 0.629201 0.410510
2.1300 0.151571 0.319193 0.435680 0.625318 0.408281
2.1400 0.150412 0.316408 0.431660 0.621374 0.406069
2.1500 0.149242 0.313611 0.427631 0.617367 0.403872
2.1600 0.148062 0.310803 0.423593 0.613298 0.401688
2.1700 0.146872 0.307982 0.419545 0.609168 0.399514
2.1800 0.145671 0.305151 0.415489 0.604978 0.397348
2.1900 0.144461 0.302308 0.411424 0.600726 0.395188
2.2000 0.143241 0.299455 0.407351 0.596415 0.393031
2.2100 0.142012 0.296590 0.403269 0.592044 0.390876
2.2200 0.140772 0.293714 0.399179 0.587614 0.388719
2.2300 0.139524 0.290828 0.395080 0.583125 0.386559
2.2400 0.138266 0.287932 0.390974 0.578577 0.384393
2.2500 0.136999 0.285025 0.386859 0.573972 0.382219
2.2600 0.135722 0.282108 0.382737 0.569310 0.380034
2.2700 0.134437 0.279181 0.378607 0.564590 0.377837
2.2800 0.133143 0.276245 0.374469 0.559814 0.375625
2.2900 0.131840 0.273298 0.370324 0.554982 0.373395
2.3000 0.130528 0.270342 0.366171 0.550095 0.371147
2.3100 0.129208 0.267377 0.362011 0.545152 0.368876
2.3200 0.127879 0.264402 0.357844 0.540155 0.366582
2.3300 0.126542 0.261418 0.353669 0.535105 0.364262
2.3400 0.125197 0.258425 0.349488 0.530000 0.361914
2.3500 0.123844 0.255423 0.345300 0.524843 0.359535
2.3600 0.122483 0.252413 0.341105 0.519633 0.357125
